PORT_NAME;CNTR_CODE3;LONGITUDE;LATITUDE;Continent
PALAMOS;ESP;3,130501065;41,84464568;Europe
CHERBOURG;FRA;-1,617801242;49,64976896;Europe
DUBLIN;IRL;-6,212486607;53,3436654;Europe
STRASBOURG;FRA;7,790219364;48,57710099;Europe
PIOMBINO;ITA;10,54559832;42,93688635;Europe
LYON;FRA;4,832734595;45,71411305;Europe
TURKU;FIN;22,19914221;60,44346829;Europe
PORT-SAINT-LOUIS-DU-RHONE;FRA;4,828256654;43,38828837;Europe
OULU;FIN;25,41477055;65,00377957;Europe
ROSTOCK;DEU;12,11126671;54,13911379;Europe
AUGUSTA;ITA;15,19324967;37,22640617;Europe
MANNHEIM;DEU;8,45502655;49,50313193;Europe
LUBECK;DEU;10,73108026;53,88838035;Europe
MINDEN;DEU;8,933233386;52,30314571;Europe
GENOVA;ITA;8,86827618;44,4118002;Europe
GIOIA TAURO;ITA;15,90796957;38,4576225;Europe
PETIT COURONNE;FRA;1,008237312;49,37837621;Europe
HULL;GBR;-0,303312456;53,73958879;Europe
BELFAST;GBR;-5,900221431;54,62076382;Europe
KOTKA;FIN;26,94417772;60,48105183;Europe
HAMBURG;DEU;9,96457588;53,5277927;Europe
KOKKOLA;FIN;23,02786598;63,85069552;Europe
HELSINKI;FIN;24,9581319;60,16069017;Europe
TERNEUZEN;NLD;3,82073997;51,33156514;Europe
RAVENNA;ITA;12,24758358;44,44873086;Europe
FLENSBURG;DEU;9,438189392;54,80293799;Europe
PORTO TORRES;ITA;8,357230362;40,83613824;Europe
CAGLIARI;ITA;9,09192659;39,21218995;Europe
VIGO;ESP;-8,735366279;42,2359107;Europe
CORK;IRL;-8,423966755;51,90187588;Europe
OSKARSHAMN;SWE;16,47231019;57,2640005;Europe
ROUEN;FRA;1,037846896;49,42899628;Europe
TALLINN;EST;24,71750287;59,45500017;Europe
REYKJAVIK;ISL;-21,89240559;64,15054237;Europe
GAVLE;SWE;17,24222759;60,68826695;Europe
VLISSINGEN;NLD;3,693204727;51,45476719;Europe
ROTTERDAM;NLD;4,336642395;51,90663133;Europe
ROERMOND;NLD;5,974874181;51,1925434;Europe
MAASBRACHT;NLD;5,887742415;51,14843573;Europe
PLYMOUTH;GBR;-4,167825389;50,37448432;Europe
HARLINGEN;NLD;5,427845579;53,18539065;Europe
DORDRECHT;NLD;4,667125529;51,79933934;Europe
DEN HELDER;NLD;4,783659011;52,95491161;Europe
PORTSMOUTH;GBR;-1,097640291;50,81760682;Europe
AMSTERDAM;NLD;4,847057423;52,39838909;Europe
